物件名,住所,アクセス,築年数,階数,家賃,管理費,間取り,広さ
KDXレジデンス千駄木,東京都文京区千駄木３,東京メトロ千代田線/千駄木駅 歩3分 ＪＲ山手線/西日暮里駅 歩8分 ＪＲ京浜東北線/日暮里駅 歩9分,築24年,7階,29.5万円,10000円,3LDK,66.77m2
CONTEL西五反田,東京都品川区西五反田７,ＪＲ山手線/五反田駅 歩7分 東急池上線/大崎広小路駅 歩6分 東急目黒線/不動前駅 歩8分,築5年,2階,8.9万円,6000円,ワンルーム,12.59m2
SHINKA,東京都中央区新川２,ＪＲ京葉線/八丁堀駅 歩2分 東京メトロ日比谷線/八丁堀駅 歩5分 東京メトロ東西線/茅場町駅 歩8分,築7年,9階,17万円,15000円,1LDK,47.32m2
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,ＪＲ山手線/秋葉原駅 歩5分 ＪＲ京浜東北線/神田駅 歩6分 都営新宿線/岩本町駅 歩4分,新築,2階,18.2万円,18000円,1LDK,38.99m2
福信館,東京都文京区千駄木３,東京メトロ千代田線/千駄木駅 歩4分 ＪＲ山手線/西日暮里駅 歩8分 ＪＲ山手線/日暮里駅 歩11分,築11年,8階,16.1万円,9500円,1LDK,42.28m2
CASSIA押上桜橋,東京都墨田区向島２,東京メトロ半蔵門線/押上駅 歩9分 京成押上線/押上駅 歩9分 都営浅草線/押上駅 歩11分,築2年,3階,15.9万円,15000円,1LDK,41.04m2
コンフォリア春日富坂,東京都文京区春日１,東京メトロ丸ノ内線/後楽園駅 歩6分 都営大江戸線/春日駅 歩8分 ＪＲ中央線/飯田橋駅 歩15分,築16年,7階,18.7万円,10000円,1LDK,42.94m2
東京メトロ丸ノ内線 淡路町駅 地下1地上12階建 築6年,東京都千代田区神田司町２,東京メトロ丸ノ内線/淡路町駅 歩4分 ＪＲ山手線/神田駅 歩6分 都営新宿線/小川町駅 歩4分,築6年,9階,17.2万円,10000円,1LDK,33.77m2
ムルーエ築地,東京都中央区築地１,東京メトロ日比谷線/築地駅 歩2分 東京メトロ有楽町線/新富町駅 歩3分 都営浅草線/東銀座駅 歩5分,築22年,9階,25万円,0円,2LDK,61.87m2
正金アパートメント入船,東京都中央区新富１,東京メトロ有楽町線/新富町駅 歩2分 ＪＲ京葉線/八丁堀駅 歩4分 東京メトロ日比谷線/築地駅 歩5分,築7年,5階,18.6万円,10000円,1LDK,38.28m2
ルフォンプログレ文京湯島,東京都文京区湯島３,東京メトロ千代田線/湯島駅 歩3分 東京メトロ銀座線/末広町駅 歩5分 ＪＲ山手線/御徒町駅 歩9分,築4年,4階,28万円,15000円,2LDK,53.26m2
プライムアーバン日本橋横山町,東京都中央区日本橋横山町,都営新宿線/馬喰横山駅 歩2分 ＪＲ総武線快速/馬喰町駅 歩3分 東京メトロ日比谷線/小伝馬町駅 歩5分,築16年,9階,17.1万円,8000円,1LDK,46.14m2
シーフォルム神田,東京都千代田区神田富山町,ＪＲ山手線/神田駅 歩4分 都営新宿線/岩本町駅 歩5分 ＪＲ総武線快速/新日本橋駅 歩8分,築12年,5階,18.6万円,10000円,1LDK,44.39m2
都営大江戸線 両国駅 5階建 築26年,東京都墨田区緑１,都営大江戸線/両国駅 歩6分 都営新宿線/森下駅 歩7分 ＪＲ総武線/両国駅 歩11分,築26年,4階,11.5万円,5000円,2DK,46.98m2
ニューシティアパートメンツ新川2,東京都中央区新川２,ＪＲ京葉線/八丁堀駅 歩3分 東京メトロ日比谷線/茅場町駅 歩4分 ＪＲ山手線/東京駅 歩13分,築18年,1階,21万円,10000円,1LDK,59.45m2
レ クロシェット,東京都千代田区飯田橋２,ＪＲ中央線/水道橋駅 歩7分 東京メトロ半蔵門線/九段下駅 歩5分 東京メトロ東西線/飯田橋駅 歩10分,新築,9階,21.6万円,8800円,1LDK,48.04m2
サイプレス日本橋本町,東京都中央区日本橋本町４,ＪＲ総武線快速/新日本橋駅 歩2分 ＪＲ山手線/神田駅 歩5分 東京メトロ銀座線/三越前駅 歩4分,築6年,11階,19.3万円,10000円,1LDK,38.37m2
レジディア三越前,東京都中央区日本橋本町３,ＪＲ総武線快速/新日本橋駅 歩2分 東京メトロ銀座線/三越前駅 歩6分 ＪＲ山手線/神田駅 歩11分,築19年,10階,15.5万円,15000円,1LDK,40.7m2
ＪＲ総武線快速 新日本橋駅 15階建 築19年,東京都中央区日本橋本町３,ＪＲ総武線快速/新日本橋駅 歩2分 東京メトロ日比谷線/小伝馬町駅 歩3分 東京メトロ銀座線/三越前駅 歩5分,築19年,10階,15.5万円,15000円,1LDK,40.7m2
CREVISTA東向島,東京都墨田区東向島６,京成押上線/京成曳舟駅 歩7分 東武伊勢崎線/東向島駅 歩7分 京成押上線/八広駅 歩9分,新築,2階,8.45万円,15000円,1K,25.5m2
レジディア市谷砂土原,東京都新宿区市谷砂土原町３,都営大江戸線/牛込神楽坂駅 歩6分 東京メトロ有楽町線/市ケ谷駅 歩8分 ＪＲ中央線/飯田橋駅 歩8分,築16年,4階,105万円,0円,4LDK,181.6m2
アーバネックス両国,東京都墨田区両国１,ＪＲ総武線/両国駅 歩5分 ＪＲ総武線/浅草橋駅 歩11分 ＪＲ総武線快速/馬喰町駅 歩12分,築2年,10階,12万円,10000円,1DK,25.55m2
