物件名,住所,アクセス,築年数,階数,家賃,管理費,間取り,広さ
コンフォリア芝浦バウハウス,東京都港区海岸３,新交通ゆりかもめ/芝浦ふ頭駅 歩6分 ＪＲ山手線/田町駅 歩11分 都営三田線/三田駅 歩13分,築18年,7階,20.8万円,10000円,1LDK,48.19m2
東急東横線 中目黒駅 地下1地上5階建 築32年,東京都目黒区上目黒３,東急東横線/中目黒駅 歩4分 東急東横線/代官山駅 歩13分 ＪＲ山手線/恵比寿駅 歩17分,築32年,4階,15.9万円,15000円,1LDK,40.47m2
ローレルフラット,東京都目黒区上目黒３,東急東横線/中目黒駅 歩4分 東急東横線/代官山駅 歩13分 ＪＲ山手線/恵比寿駅 歩17分,築32年,4階,15.9万円,15000円,1LDK,40.47m2
東京メトロ丸ノ内線 東高円寺駅 4階建 築11年,東京都杉並区高円寺南１,東京メトロ丸ノ内線/東高円寺駅 歩2分 ＪＲ総武線/高円寺駅 歩10分 ＪＲ中央線/中野駅 歩19分,築11年,4階,10万円,4400円,1DK,31.7m2
エルリバー,東京都杉並区高円寺南１,東京メトロ丸ノ内線/東高円寺駅 歩2分 ＪＲ総武線/高円寺駅 歩10分 ＪＲ中央線/中野駅 歩19分,築11年,4階,10万円,4400円,1DK,31.7m2
パークコート麻布十番ザ・タワー,東京都港区三田１,東京メトロ南北線/麻布十番駅 歩4分 都営大江戸線/赤羽橋駅 歩6分 都営三田線/芝公園駅 歩13分,築14年,10階,33万円,20000円,1LDK,42.32m2
都営大江戸線 若松河田駅 5階建 築19年,東京都新宿区若松町,都営大江戸線/若松河田駅 歩7分 東京メトロ副都心線/東新宿駅 歩10分 東京メトロ東西線/早稲田駅 歩18分,築19年,2階,16.4万円,10000円,1LDK,39.65m2
京急本線 梅屋敷駅 8階建 築3年,東京都大田区東蒲田１,京急本線/梅屋敷駅 歩5分 京急本線/京急蒲田駅 歩8分 ＪＲ京浜東北線/蒲田駅 歩18分,築3年,4階,15.6万円,12000円,1SDK,40.37m2
ルーブル西蒲田弐番館,東京都大田区東矢口３,東急池上線/蓮沼駅 歩2分 ＪＲ京浜東北線/蒲田駅 歩9分 東急多摩川線/矢口渡駅 歩12分,築14年,6階,13.5万円,13000円,2DK,40.97m2
小田急線 祖師ヶ谷大蔵駅 4階建 築22年,東京都世田谷区砧８,小田急線/祖師ヶ谷大蔵駅 歩6分 小田急線/成城学園前駅 歩8分 ,築22年,2階,15万円,0円,1LDK,47.85m2
サンパレス西品川,東京都品川区西品川３,ＪＲ山手線/大崎駅 歩8分 東急大井町線/下神明駅 歩12分 東急池上線/大崎広小路駅 歩13分,築36年,1階,10.9万円,3000円,2DK,41m2
京王井の頭線 浜田山駅 地下1地上3階建 築7年,東京都杉並区浜田山４,京王井の頭線/浜田山駅 歩10分 ＪＲ中央線/荻窪駅 バス14分 (バス停)五日市街道営業所 歩6分 東京メトロ丸ノ内線/南阿佐ケ谷駅 歩23分,築7年,1階,23万円,20000円,2LDK,70.53m2
ディアナコート浜田山,東京都杉並区浜田山４,京王井の頭線/浜田山駅 歩10分 ＪＲ中央線/荻窪駅 バス14分 (バス停)五日市街道営業所 歩6分 東京メトロ丸ノ内線/南阿佐ケ谷駅 歩23分,築7年,1階,23万円,20000円,2LDK,70.53m2
イサラ荻窪,東京都杉並区荻窪４,ＪＲ中央線/荻窪駅 歩4分 ＪＲ総武線/荻窪駅 歩6分 東京メトロ丸ノ内線/南阿佐ケ谷駅 歩21分,築20年,8階,11.6万円,8000円,1DK,30.74m2
ＪＲ中央線 荻窪駅 8階建 築20年,東京都杉並区荻窪４,ＪＲ中央線/荻窪駅 歩4分 ＪＲ総武線/荻窪駅 歩6分 東京メトロ丸ノ内線/南阿佐ケ谷駅 歩21分,築20年,8階,11.6万円,8000円,1DK,30.74m2
モアリッシェル代官山青葉台,東京都目黒区青葉台３,東急田園都市線/池尻大橋駅 歩10分 東京メトロ日比谷線/中目黒駅 歩15分 ＪＲ山手線/渋谷駅 歩17分,築4年,3階,23.9万円,8000円,1LDK,40.46m2
アビティ用賀,東京都世田谷区玉川台１,東急田園都市線/用賀駅 歩9分 東急田園都市線/二子玉川駅 歩18分 東急大井町線/上野毛駅 歩18分,築13年,1階,14.9万円,11000円,1LDK,47.76m2
都営大江戸線 若松河田駅 5階建 築19年,東京都新宿区若松町,都営大江戸線/若松河田駅 歩7分 東京メトロ副都心線/東新宿駅 歩10分 東京メトロ東西線/早稲田駅 歩18分,築19年,2階,16.4万円,10000円,1LDK,39.65m2
COCOCUBE西蒲田,東京都大田区西蒲田５,ＪＲ京浜東北線/蒲田駅 歩6分 東急池上線/蓮沼駅 歩12分 京急本線/京急蒲田駅 歩16分,築4年,3階,13.3万円,6000円,1LDK,34.09m2
ＪＲ京浜東北線 蒲田駅 4階建 築4年,東京都大田区西蒲田５,ＪＲ京浜東北線/蒲田駅 歩6分 東急池上線/蓮沼駅 歩12分 京急本線/京急蒲田駅 歩16分,築4年,3階,13.3万円,6000円,1LDK,34.09m2
ルクレ三田,東京都港区三田５,東京メトロ南北線/白金高輪駅 歩8分 都営三田線/三田駅 歩11分 ＪＲ山手線/田町駅 歩14分,築3年,1階,19.1万円,10000円,1LDK,40.73m2
ステージファースト錦糸町アジールコート,東京都墨田区横川２,東京メトロ半蔵門線/押上駅 歩10分 ＪＲ総武線/錦糸町駅 歩11分 東武伊勢崎線/とうきょうスカイツリー駅 歩14分,築11年,3階,8.2万円,10000円,1K,25.52m2
東京メトロ半蔵門線 押上駅 7階建 築11年,東京都墨田区横川２,東京メトロ半蔵門線/押上駅 歩10分 ＪＲ総武線/錦糸町駅 歩11分 東武伊勢崎線/とうきょうスカイツリー駅 歩14分,築11年,3階,8.2万円,10000円,1K,25.52m2
レジディア芝浦KAIGAN,東京都港区海岸３,ＪＲ山手線/田町駅 歩11分 新交通ゆりかもめ/芝浦ふ頭駅 歩3分 都営浅草線/三田駅 歩15分,築14年,4階,17.5万円,15000円,1LDK,44.82m2
グランシャトー井草,東京都杉並区井草３,西武新宿線/井荻駅 歩2分 西武新宿線/上井草駅 歩12分 ＪＲ中央線/荻窪駅 バス17分 (バス停)井荻駅（バス） 歩3分,築23年,3階,17.7万円,3000円,3DK,78.7m2
アパートメンツタワー麻布十番,東京都港区麻布十番３,東京メトロ南北線/麻布十番駅 歩2分 都営大江戸線/赤羽橋駅 歩11分 東京メトロ日比谷線/六本木駅 歩16分,築17年,3階,24.2万円,8000円,1LDK,42.03m2
ベルシード品川西大井,東京都品川区西大井２,ＪＲ横須賀線/西大井駅 歩5分 東急大井町線/下神明駅 歩16分 都営浅草線/馬込駅 歩17分,築4年,2階,7.8万円,15000円,1K,23.71m2
クリオラベルヴィ馬込,東京都大田区東馬込１,都営浅草線/馬込駅 歩6分 都営浅草線/中延駅 歩11分 東急大井町線/荏原町駅 歩11分,築5年,1階,13万円,10000円,1LDK,33.61m2
京急空港線 糀谷駅 3階建 築16年,東京都大田区南蒲田３,京急空港線/糀谷駅 歩6分 京急本線/京急蒲田駅 歩11分 京急本線/雑色駅 歩15分,築16年,2階,12.2万円,3000円,1LDK,42.69m2
MYストーリー,東京都大田区南蒲田３,京急空港線/糀谷駅 歩6分 京急本線/京急蒲田駅 歩11分 京急本線/雑色駅 歩15分,築16年,2階,12.2万円,3000円,1LDK,42.69m2
ＪＲ横須賀線 西大井駅 12階建 築4年,東京都品川区西大井２,ＪＲ横須賀線/西大井駅 歩5分 東急大井町線/下神明駅 歩16分 都営浅草線/馬込駅 歩17分,築4年,2階,7.8万円,15000円,1K,23.71m2
日興パレス文京プラザ,東京都文京区根津２,東京メトロ千代田線/根津駅 歩3分 東京メトロ南北線/東大前駅 歩14分 東京メトロ千代田線/千駄木駅 歩12分,築38年,6階,29万円,20000円,3DK,132.17m2
サーパス芦花公園,東京都杉並区上高井戸１,京王線/芦花公園駅 歩3分 京王線/八幡山駅 歩12分 ＪＲ中央線/荻窪駅 バス30分 (バス停)芦花公園駅 歩3分,築22年,4階,21万円,15000円,2LDK,70.25m2
パルクメゾン,東京都目黒区碑文谷５,東急東横線/学芸大学駅 歩9分 東急東横線/都立大学駅 歩16分 ＪＲ山手線/目黒駅 バス18分 (バス停)碑文谷五丁目交番 歩5分,築34年,1階,12.3万円,5000円,2DK,45.83m2
東急東横線 学芸大学駅 2階建 築34年,東京都目黒区碑文谷５,東急東横線/学芸大学駅 歩9分 東急東横線/都立大学駅 歩16分 ＪＲ山手線/目黒駅 バス18分 (バス停)碑文谷五丁目交番 歩5分,築34年,1階,12.3万円,5000円,2DK,45.83m2
グランパセオ白金高輪,東京都港区白金３,都営三田線/白金高輪駅 歩8分 東京メトロ南北線/白金台駅 歩13分 東京メトロ日比谷線/広尾駅 歩15分,築3年,1階,19.5万円,15000円,1LDK,45.79m2
ザ・ウェルス麻布,東京都港区東麻布１,都営大江戸線/赤羽橋駅 歩2分 東京メトロ南北線/麻布十番駅 歩8分 都営三田線/芝公園駅 歩11分,新築,3階,26.5万円,15000円,1LDK,48.29m2
瀬田ガーデンハウス,東京都世田谷区瀬田５,東急田園都市線/用賀駅 歩9分 東急大井町線/二子玉川駅 歩18分 東急大井町線/上野毛駅 歩21分,築22年,9階,20.6万円,9000円,3LDK,71.09m2
アパートメンツタワー麻布十番,東京都港区麻布十番３,東京メトロ南北線/麻布十番駅 歩2分 都営大江戸線/赤羽橋駅 歩11分 東京メトロ日比谷線/六本木駅 歩16分,築17年,3階,24.2万円,8000円,1LDK,42.03m2
ステージファースト錦糸町アジールコート,東京都墨田区横川２,東京メトロ半蔵門線/押上駅 歩10分 ＪＲ総武線/錦糸町駅 歩11分 東武伊勢崎線/とうきょうスカイツリー駅 歩14分,築11年,3階,8.2万円,10000円,1K,25.52m2
東京メトロ半蔵門線 押上駅 7階建 築11年,東京都墨田区横川２,東京メトロ半蔵門線/押上駅 歩10分 ＪＲ総武線/錦糸町駅 歩11分 東武伊勢崎線/とうきょうスカイツリー駅 歩14分,築11年,3階,8.2万円,10000円,1K,25.52m2
リーガランド幡ヶ谷アネックス,東京都渋谷区幡ヶ谷３,京王新線/幡ヶ谷駅 歩7分 京王線/笹塚駅 歩12分 東京メトロ丸ノ内線/方南町駅 歩20分,築3年,1階,19.2万円,20000円,1SDK,51.49m2
アザレアベニュー関根,東京都杉並区天沼３,ＪＲ中央線/荻窪駅 歩6分 西武新宿線/下井草駅 バス21分 (バス停)荻窪駅北口 歩7分 ＪＲ中央線/阿佐ケ谷駅 歩23分,築28年,1階,11.3万円,12000円,1LDK,30.4m2
グランパセオ白金高輪,東京都港区白金３,都営三田線/白金高輪駅 歩8分 東京メトロ南北線/白金台駅 歩13分 東京メトロ日比谷線/広尾駅 歩15分,築3年,1階,19.5万円,15000円,1LDK,45.79m2
ＵＲエステート北新宿,東京都新宿区北新宿３,ＪＲ総武線/東中野駅 歩6分 都営大江戸線/東中野駅 歩6分 東京メトロ東西線/落合駅 歩14分,築38年,5階,17.57万円,7000円,3DK,63.36m2
瀬田ガーデンハウス,東京都世田谷区瀬田５,東急田園都市線/用賀駅 歩9分 東急大井町線/二子玉川駅 歩18分 東急大井町線/上野毛駅 歩21分,築22年,9階,20.6万円,9000円,3LDK,71.09m2
都営大江戸線 牛込神楽坂駅 地下1地上7階建 築14年,東京都新宿区北山伏町,都営大江戸線/牛込神楽坂駅 歩3分 東京メトロ東西線/神楽坂駅 歩7分 ＪＲ中央線/市ケ谷駅 歩12分,築14年,6階,15.1万円,10000円,1LDK,33.92m2
ベルシード品川西大井,東京都品川区西大井２,ＪＲ横須賀線/西大井駅 歩5分 東急大井町線/下神明駅 歩16分 都営浅草線/馬込駅 歩17分,築4年,2階,7.8万円,15000円,1K,23.71m2
ザ・ウェルス麻布,東京都港区東麻布１,都営大江戸線/赤羽橋駅 歩2分 東京メトロ南北線/麻布十番駅 歩8分 都営三田線/芝公園駅 歩11分,新築,3階,26.5万円,15000円,1LDK,48.29m2
東急田園都市線 用賀駅 5階建 築4年,東京都世田谷区瀬田４,東急田園都市線/用賀駅 歩8分 東急田園都市線/二子玉川駅 歩15分 東急大井町線/上野毛駅 歩19分,築4年,5階,17.9万円,10000円,2LDK,45.51m2
京王井の頭線 浜田山駅 3階建 築11年,東京都杉並区浜田山３,京王井の頭線/浜田山駅 歩3分 京王井の頭線/西永福駅 歩14分 京王線/上北沢駅 歩28分,築11年,1階,15万円,8000円,1LDK,47.98m2
フェンネル浜田山,東京都杉並区浜田山３,京王井の頭線/浜田山駅 歩3分 京王井の頭線/西永福駅 歩14分 京王線/上北沢駅 歩28分,築11年,1階,15万円,8000円,1LDK,47.98m2
ＪＲ横須賀線 西大井駅 12階建 築4年,東京都品川区西大井２,ＪＲ横須賀線/西大井駅 歩5分 東急大井町線/下神明駅 歩16分 都営浅草線/馬込駅 歩17分,築4年,2階,7.8万円,15000円,1K,23.71m2
スタイリオ池上-新参道-,東京都大田区池上４,東急池上線/池上駅 歩4分 都営浅草線/西馬込駅 歩21分 ＪＲ京浜東北線/蒲田駅 歩22分,新築,10階,21.5万円,15000円,2LDK,55.42m2
東京メトロ千代田線 明治神宮前駅 地下1地上4階建 築26年,東京都渋谷区神宮前３,東京メトロ千代田線/明治神宮前駅 歩8分 ＪＲ山手線/原宿駅 歩10分 東京メトロ銀座線/外苑前駅 歩11分,築26年,3階,23.5万円,0円,1LDK,59.48m2
パークハビオ渋谷,東京都渋谷区渋谷３,ＪＲ山手線/渋谷駅 歩4分 東急東横線/代官山駅 歩15分 東京メトロ銀座線/表参道駅 歩16分,築12年,4階,22.2万円,12000円,1LDK,41.02m2
パークハウス中目黒,東京都目黒区中目黒３,東京メトロ日比谷線/中目黒駅 歩10分 東急東横線/祐天寺駅 歩15分 ＪＲ山手線/恵比寿駅 歩17分,築16年,4階,24万円,0円,1LDK,42.96m2
パークアクシス渋谷神山町,東京都渋谷区神山町,東京メトロ千代田線/代々木公園駅 歩9分 小田急線/代々木八幡駅 歩12分 東急東横線/渋谷駅 歩13分,築7年,4階,18.6万円,12000円,1LDK,33.04m2
レジディア赤坂,東京都港区赤坂７,東京メトロ千代田線/赤坂駅 歩8分 東京メトロ半蔵門線/青山一丁目駅 歩10分 東京メトロ千代田線/乃木坂駅 歩13分,築20年,2階,15.3万円,10000円,1DK,30.45m2
東京メトロ千代田線 赤坂駅 5階建 築20年,東京都港区赤坂７,東京メトロ千代田線/赤坂駅 歩8分 東京メトロ半蔵門線/青山一丁目駅 歩10分 東京メトロ千代田線/乃木坂駅 歩13分,築20年,2階,15.3万円,10000円,1DK,30.45m2
sonare,東京都杉並区阿佐谷南１,東京メトロ丸ノ内線/新高円寺駅 歩8分 東京メトロ丸ノ内線/南阿佐ケ谷駅 歩12分 ＪＲ中央線/阿佐ケ谷駅 歩12分,新築,2階,17.5万円,10000円,1LDK,47.69m2
萩中イースト,東京都大田区萩中１,京急空港線/糀谷駅 歩6分 京急本線/京急蒲田駅 歩18分 京急空港線/大鳥居駅 歩15分,築17年,2階,12.1万円,10000円,1LDK,36.74m2
ロイヤルハウス都立大,東京都目黒区平町１,東急東横線/都立大学駅 歩2分 東急大井町線/緑が丘駅 歩18分 東急東横線/学芸大学駅 歩19分,築35年,1階,18万円,15000円,2SDK,55.62m2
京急空港線 糀谷駅 地下1地上6階建 築17年,東京都大田区萩中１,京急空港線/糀谷駅 歩6分 京急本線/京急蒲田駅 歩18分 京急空港線/大鳥居駅 歩15分,築17年,2階,12.1万円,10000円,1LDK,36.74m2
グランシエーヌ初台,東京都渋谷区本町２,京王新線/初台駅 歩10分 京王新線/幡ヶ谷駅 歩13分 都営大江戸線/西新宿五丁目駅 歩13分,築17年,2階,12.9万円,4000円,1LDK,37.63m2
パークアクシス池上,東京都大田区池上７,東急池上線/池上駅 歩7分 東急多摩川線/武蔵新田駅 歩11分 東急多摩川線/矢口渡駅 歩12分,築9年,2階,13万円,12000円,1LDK,31.61m2
アクティ目黒駅前2号棟,東京都目黒区目黒１,ＪＲ山手線/目黒駅 歩3分 ＪＲ埼京線/恵比寿駅 歩18分 東京メトロ南北線/白金台駅 歩18分,築24年,3階,22万円,8000円,1LDK,52.02m2
東京メトロ有楽町線 市ケ谷駅 12階建 築6年,東京都新宿区市谷本村町,東京メトロ有楽町線/市ケ谷駅 歩4分 ＪＲ中央線/四ツ谷駅 歩9分 都営新宿線/曙橋駅 歩12分,築6年,3階,18.7万円,10000円,1LDK,40.85m2
グランドメゾン高輪台,東京都港区高輪３,都営浅草線/高輪台駅 歩3分 東京メトロ南北線/白金台駅 歩13分 ＪＲ山手線/品川駅 歩15分,築24年,5階,23.5万円,15000円,2LDK,62.69m2
都営浅草線 高輪台駅 地下1地上15階建 築24年,東京都港区高輪３,都営浅草線/高輪台駅 歩3分 東京メトロ南北線/白金台駅 歩13分 ＪＲ山手線/品川駅 歩15分,築24年,5階,23.5万円,15000円,2LDK,62.69m2
パークアクシス池上,東京都大田区池上７,東急池上線/池上駅 歩7分 東急多摩川線/武蔵新田駅 歩11分 東急多摩川線/矢口渡駅 歩12分,築9年,2階,13万円,12000円,1LDK,31.61m2
Ｂｒｉｌｌｉａ　ｉｓｔ　白金高輪,東京都港区白金１,東京メトロ南北線/白金高輪駅 歩3分 都営三田線/白金高輪駅 歩3分 都営浅草線/泉岳寺駅 歩17分,築19年,2階,14.3万円,9000円,1DK,31.57m2
東京メトロ南北線 白金高輪駅 11階建 築19年,東京都港区白金１,東京メトロ南北線/白金高輪駅 歩3分 都営三田線/白金高輪駅 歩3分 都営浅草線/泉岳寺駅 歩17分,築19年,2階,14.3万円,9000円,1DK,31.57m2
アクティ目黒駅前2号棟,東京都目黒区目黒１,ＪＲ山手線/目黒駅 歩3分 ＪＲ埼京線/恵比寿駅 歩18分 東京メトロ南北線/白金台駅 歩18分,築24年,3階,22万円,8000円,1LDK,52.02m2
東京メトロ有楽町線 市ケ谷駅 12階建 築6年,東京都新宿区市谷本村町,東京メトロ有楽町線/市ケ谷駅 歩4分 ＪＲ中央線/四ツ谷駅 歩9分 都営新宿線/曙橋駅 歩12分,築6年,3階,18.7万円,10000円,1LDK,40.85m2
PREMIUM CUBE 中野富士見町,東京都杉並区和田１,東京メトロ丸ノ内線/中野富士見町駅 歩3分 東京メトロ丸ノ内線/新中野駅 歩14分 ＪＲ中央線/中野駅 歩26分,新築,1階,10.35万円,15000円,2K,25.95m2
東京メトロ日比谷線 広尾駅 7階建 築18年,東京都港区白金５,東京メトロ日比谷線/広尾駅 歩9分 都営三田線/白金高輪駅 歩13分 東京メトロ南北線/白金台駅 歩19分,築18年,5階,15.5万円,15000円,1LDK,37.26m2
シーズンフラッツ蒲田,東京都大田区蒲田５,ＪＲ京浜東北線/蒲田駅 歩4分 京急本線/京急蒲田駅 歩8分 東急池上線/蓮沼駅 歩13分,新築,14階,20.5万円,15000円,1LDK,40.3m2
ラ・ヴェール浜田山,東京都杉並区浜田山３,京王井の頭線/浜田山駅 歩5分 京王井の頭線/西永福駅 歩13分 京王線/上北沢駅 歩26分,築35年,2階,17.7万円,10000円,2LDK,68.01m2
ＳＰＡＺＩＯ東高円寺,東京都杉並区和田２,東京メトロ丸ノ内線/東高円寺駅 歩10分 東京メトロ丸ノ内線/方南町駅 歩11分 ＪＲ中央線/高円寺駅 歩25分,築5年,5階,12万円,8000円,1LDK,31m2
岡本ビル,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩5分 東急池上線/戸越銀座駅 歩21分 都営浅草線/戸越駅 歩23分,築45年,3階,13.5万円,0円,2DK,38.9m2
新川マンション,東京都杉並区高井戸西１,京王井の頭線/高井戸駅 歩5分 京王線/八幡山駅 歩12分 京王井の頭線/富士見ヶ丘駅 歩17分,築45年,2階,12万円,0円,2LDK,50m2
京王新線 初台駅 4階建 築26年,東京都渋谷区本町２,京王新線/初台駅 歩5分 都営大江戸線/西新宿五丁目駅 歩12分 小田急線/参宮橋駅 歩17分,築26年,3階,11万円,10000円,2K,29m2
ミュプレ表参道,東京都渋谷区渋谷４,東京メトロ銀座線/表参道駅 歩9分 ＪＲ山手線/渋谷駅 歩12分 東京メトロ日比谷線/広尾駅 歩18分,築5年,6階,19.5万円,10000円,1LDK,33.16m2
ルフレ田園調布南,東京都大田区鵜の木２,東急多摩川線/鵜の木駅 歩5分 東急池上線/久が原駅 歩19分 東急多摩川線/下丸子駅 歩15分,築3年,4階,13.6万円,7000円,2DK,35.47m2
東急多摩川線 鵜の木駅 5階建 築3年,東京都大田区鵜の木２,東急多摩川線/鵜の木駅 歩5分 東急池上線/久が原駅 歩17分 ＪＲ南武線/平間駅 歩27分,築3年,4階,13.6万円,10000円,2DK,35.47m2
ＪＲ山手線 原宿駅 地下1地上7階建 築22年,東京都渋谷区神宮前１,ＪＲ山手線/原宿駅 歩3分 東京メトロ千代田線/明治神宮前駅 歩4分 東京メトロ半蔵門線/表参道駅 歩13分,築22年,3階,25.2万円,15000円,1LDK,55.57m2
スタイリオ池上WeLL,東京都大田区池上７,東急池上線/池上駅 歩7分 東急多摩川線/武蔵新田駅 歩12分 ＪＲ京浜東北線/蒲田駅 歩25分,新築,1階,15.3万円,12000円,1LDK,34.2m2
東京メトロ丸ノ内線 方南町駅 10階建 築15年,東京都杉並区堀ノ内１,東京メトロ丸ノ内線/方南町駅 歩3分 京王井の頭線/永福町駅 歩18分 京王線/代田橋駅 歩24分,築15年,6階,16万円,15000円,1LDK,43.38m2
ルフォンプログレ大森山王,東京都大田区山王３,ＪＲ京浜東北線/大森駅 歩9分 京急本線/大森海岸駅 歩17分 都営浅草線/馬込駅 歩26分,築1年,2階,19.7万円,20000円,2LDK,44m2
メゾン大井町,東京都品川区大井１,東急大井町線/大井町駅 歩4分 東急大井町線/下神明駅 歩7分 京急本線/鮫洲駅 歩16分,築39年,5階,8.6万円,0円,1DK,32.56m2
グレース桜丘,東京都世田谷区桜丘５,小田急線/千歳船橋駅 歩6分 小田急線/祖師ヶ谷大蔵駅 歩13分 東急田園都市線/用賀駅 バス19分 (バス停)桜丘五丁目 歩2分,築13年,1階,12.3万円,2000円,1LDK,41m2
グランデュオ若林V,東京都世田谷区若林５,東急世田谷線/若林駅 歩2分 東急田園都市線/三軒茶屋駅 歩16分 東急世田谷線/松陰神社前駅 歩7分,築4年,4階,21万円,10000円,1LDK,45.18m2
ウェルスクエア永福町,東京都杉並区和泉３,京王井の頭線/永福町駅 歩5分 東京メトロ丸ノ内線/方南町駅 歩17分 京王線/明大前駅 歩22分,新築,1階,13万円,7000円,1LDK,33.35m2
タスキsmart不動前,東京都品川区西五反田５,東急目黒線/不動前駅 歩2分 ＪＲ山手線/五反田駅 歩15分 東急池上線/大崎広小路駅 歩15分,築3年,2階,12.8万円,8000円,1DK,24.83m2
サンテミリオン芝公園,東京都港区芝２,都営三田線/芝公園駅 歩5分 都営大江戸線/大門駅 歩8分 ＪＲ山手線/浜松町駅 歩11分,築23年,3階,8.4万円,15000円,1K,21.87m2
ダイナシティ三田,東京都港区三田２,都営三田線/三田駅 歩9分 ＪＲ山手線/田町駅 歩12分 東京メトロ南北線/白金高輪駅 歩11分,築20年,7階,15万円,18000円,1LDK,38.82m2
YSレジデンス代田橋,東京都杉並区和泉２,京王線/代田橋駅 歩8分 京王線/明大前駅 歩15分 京王井の頭線/永福町駅 歩17分,築3年,6階,19.7万円,15000円,1LDK,45.84m2
Brillia Towers目黒ノースレジデンス,東京都品川区上大崎３,ＪＲ山手線/目黒駅 歩2分 ＪＲ山手線/五反田駅 歩13分 東急目黒線/不動前駅 歩13分,築7年,19階,26.5万円,15000円,1LDK,40.38m2
西小山アパートメント,東京都品川区荏原５,東急目黒線/西小山駅 歩8分 東急目黒線/武蔵小山駅 歩11分 東急大井町線/旗の台駅 歩12分,築36年,2階,14.3万円,5000円,1LDK,36.81m2
ルフォンプログレ大森山王,東京都大田区山王３,ＪＲ京浜東北線/大森駅 歩9分 京急本線/大森海岸駅 歩17分 都営浅草線/馬込駅 歩26分,築1年,2階,19.7万円,20000円,2LDK,44m2
東京メトロ丸ノ内線 方南町駅 4階建 新築,東京都杉並区和泉３,東京メトロ丸ノ内線/方南町駅 歩17分 京王井の頭線/永福町駅 歩5分 京王井の頭線/西永福駅 歩16分,新築,4階,13.6万円,7000円,1LDK,33m2
カーロ南青山,東京都港区南青山２,東京メトロ銀座線/青山一丁目駅 歩5分 東京メトロ千代田線/乃木坂駅 歩12分 東京メトロ半蔵門線/表参道駅 歩16分,築18年,1階,22.5万円,15000円,1LDK,48.2m2
パークヴィレッジ阿佐ヶ谷,東京都杉並区阿佐谷北５,ＪＲ中央線/阿佐ケ谷駅 歩9分 ＪＲ総武線/高円寺駅 歩15分 東京メトロ丸ノ内線/南阿佐ケ谷駅 歩16分,築17年,1階,14.7万円,0円,1LDK,43.02m2
四谷坂町レジデンス,東京都新宿区四谷坂町,ＪＲ中央線/四ツ谷駅 歩7分 東京メトロ南北線/市ケ谷駅 歩9分 東京メトロ丸ノ内線/四谷三丁目駅 歩13分,築3年,4階,23.4万円,15000円,1LDK,44.94m2
ライオンズガーデン阿佐ヶ谷,東京都杉並区阿佐谷南１,ＪＲ中央線/阿佐ケ谷駅 歩11分 東京メトロ丸ノ内線/南阿佐ケ谷駅 歩10分 ＪＲ中央線/高円寺駅 歩14分,築30年,1階,19万円,0円,2LDK,63.75m2
アクアエクスクルーシブ武蔵小山,東京都品川区小山台１,東急目黒線/武蔵小山駅 歩8分 東急目黒線/不動前駅 歩11分 ＪＲ山手線/目黒駅 歩20分,築16年,2階,8.15万円,15000円,1K,23.15m2
東急目黒線 武蔵小山駅 6階建 築16年,東京都品川区小山台１,東急目黒線/武蔵小山駅 歩8分 東急目黒線/不動前駅 歩11分 ＪＲ山手線/目黒駅 歩20分,築16年,2階,8.15万円,15000円,1K,23.15m2
ヴェルデ森下,東京都墨田区千歳３,都営新宿線/森下駅 歩3分 都営大江戸線/両国駅 歩7分 ＪＲ総武線/両国駅 歩11分,築29年,3階,5.8万円,5000円,ワンルーム,18.57m2
都営新宿線 森下駅 8階建 築29年,東京都墨田区千歳３,都営新宿線/森下駅 歩3分 都営大江戸線/両国駅 歩7分 ＪＲ総武線/両国駅 歩11分,築29年,3階,5.8万円,5000円,ワンルーム,18.57m2
ＪＲ山手線 恵比寿駅 5階建 築19年,東京都渋谷区恵比寿２,ＪＲ山手線/恵比寿駅 歩9分 東京メトロ日比谷線/恵比寿駅 歩12分 東京メトロ南北線/白金台駅 歩21分,築19年,4-5階,17万円,10000円,1LDK,41.51m2
アルビレオ,東京都渋谷区恵比寿２,ＪＲ山手線/恵比寿駅 歩9分 東京メトロ日比谷線/恵比寿駅 歩12分 東京メトロ南北線/白金台駅 歩21分,築19年,4-5階,17万円,10000円,1LDK,41.51m2
正太駒込マンション,東京都文京区本駒込５,ＪＲ山手線/駒込駅 歩7分 都営三田線/千石駅 歩13分 ＪＲ京浜東北線/田端駅 歩18分,築56年,4階,8.7万円,3000円,2K,30m2
京王線 代田橋駅 3階建 築15年,東京都世田谷区大原２,京王線/代田橋駅 歩2分 京王線/笹塚駅 歩9分 京王井の頭線/新代田駅 歩11分,築15年,3階,14万円,3000円,1LDK,49.89m2
京王井の頭線 浜田山駅 7階建 築28年,東京都杉並区浜田山３,京王井の頭線/浜田山駅 歩5分 京王井の頭線/高井戸駅 歩15分 京王線/上北沢駅 歩26分,築28年,6階,13.3万円,6000円,2DK,45m2
CREAL三軒茶屋,東京都世田谷区代沢４,東急世田谷線/西太子堂駅 歩9分 東急田園都市線/三軒茶屋駅 歩12分 小田急線/世田谷代田駅 歩18分,築3年,4階,17.3万円,10000円,2LDK,54.52m2
