物件名,住所,築年数,階数,家賃,管理費,間取り,広さ,敷金,礼金,物件画像URL,物件詳細URL,アクセス1路線,アクセス1駅名,アクセス1徒歩,アクセス2路線,アクセス2駅名,アクセス2徒歩,アクセス3路線,アクセス3駅名,アクセス3徒歩
小石川ハイム,東京都文京区小石川２,46,2,25,0,3LDK,76.42,25,25,https://img01.suumo.com/front/gazo/fr/bukken/267/100351548267/100351548267_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000078482282/?bc=100351548267,都営大江戸線,春日, 2, 東京メトロ南北線,後楽園, 4, ＪＲ中央線,水道橋, 11
LAPiS下目黒,東京都目黒区下目黒３,6,1,15.3,5000,1LDK,40.58,15.3,30.6,https://img01.suumo.com/front/gazo/fr/bukken/783/100350496783/100350496783_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000078082285/?bc=100350496783,ＪＲ山手線,目黒, 10, 東急目黒線,不動前, 6, ＪＲ山手線,五反田, 17
レジディア笹塚II,東京都渋谷区笹塚２,13,9,16.3,15000,1LDK,41.3,16.3,16.3,https://img01.suumo.com/front/gazo/fr/bukken/283/100355783283/100355783283_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086542815/?bc=100355783283,京王線,笹塚, 6, 京王井の頭線,新代田, 18, 東京メトロ丸ノ内線,方南町, 19
東京メトロ日比谷線 人形町駅 10階建 築22年,東京都中央区日本橋堀留町１,22,10,15.9,10000,1LDK,40.05,15.9,0,https://img01.suumo.com/front/gazo/fr/bukken/629/100356360629/100356360629_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086866929/?bc=100356360629,東京メトロ日比谷線,人形町, 3, ＪＲ総武線快速,馬喰町, 12, 都営新宿線,浜町, 12
コンフォリア・リヴ品川南大井,東京都品川区南大井３,2,7,21.4,15000,2DK,40.23,21.4,0,https://img01.suumo.com/front/gazo/fr/bukken/413/100345506413/100345506413_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000079037339/?bc=100345506413,京急本線,大森海岸, 9, ＪＲ京浜東北線,大森, 13, 京急本線,立会川, 13
ゼルコバ上高井戸,東京都杉並区上高井戸１,9,4,13.2,10000,1LDK,54.37,13.2,13.2,https://img01.suumo.com/front/gazo/fr/bukken/383/100355211383/100355211383_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085784527/?bc=100355131446,京王線,芦花公園, 5, 京王線,八幡山, 8, ,,0
ゼルコバ上高井戸,東京都杉並区上高井戸１,9,5,13.8,10000,1LDK,47.09,13.8,13.8,https://img01.suumo.com/front/gazo/fr/bukken/383/100355211383/100355211383_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000075816759/?bc=100355211383,京王線,芦花公園, 5, 京王線,八幡山, 8, ,,0
東京メトロ丸ノ内線 四谷三丁目駅 3階建 築9年,東京都新宿区左門町,9,1,16.8,3000,1LDK,47.04,0,16.8,https://img01.suumo.com/front/gazo/fr/bukken/520/100354139520/100354139520_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000029620766/?bc=100354139520,東京メトロ丸ノ内線,四谷三丁目, 7, ＪＲ中央線,信濃町, 8, 都営新宿線,曙橋, 8
サンウッド三田パークサイドタワー,東京都港区三田１,19,11,20,10000,1LDK,37.01,20,20,https://img01.suumo.com/front/gazo/fr/bukken/851/100349187851/100349187851_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086198879/?bc=100349187851,都営大江戸線,赤羽橋, 1, 都営三田線,芝公園, 6, 東京メトロ南北線,麻布十番, 8
柿の木坂エミネンス,東京都目黒区柿の木坂１,2,4,14.4,7000,1LDK,42.38,28.8,0,https://img01.suumo.com/front/gazo/fr/bukken/751/100355997751/100355997751_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086781474/?bc=100355997751,東急東横線,都立大学, 5, 東急東横線,学芸大学, 16, 東急東横線,自由が丘, 26
ブランズシティ久が原,東京都大田区鵜の木１,7,2,24.5,10000,3LDK,70.69,24.5,24.5,https://img01.suumo.com/front/gazo/fr/bukken/387/100350791387/100350791387_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085773606/?bc=100350791387,東急池上線,久が原, 4, 東急多摩川線,鵜の木, 5, 東急多摩川線,下丸子, 11
東急池上線 久が原駅 13階建 築7年,東京都大田区鵜の木１,7,2,24.5,10000,3LDK,70.69,24.5,24.5,https://img01.suumo.com/front/gazo/fr/bukken/337/100348551337/100348551337_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085773607/?bc=100348551337,東急池上線,久が原, 4, 東急多摩川線,鵜の木, 5, 東急多摩川線,下丸子, 11
エルプレイス文京大塚,東京都文京区大塚６,3,1,15.3,5000,1DK,40.13,15.3,15.3,https://img01.suumo.com/front/gazo/fr/bukken/619/100353003619/100353003619_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000083453877/?bc=100353003619,東京メトロ有楽町線,東池袋, 8, 東京メトロ丸ノ内線,新大塚, 8, ＪＲ山手線,池袋, 18
芝二丁目ハウス,東京都港区芝２,30,3,25.4,10000,2LDK,66.35,25.4,25.4,https://img01.suumo.com/front/gazo/fr/bukken/326/100343243326/100343243326_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085767572/?bc=100343243326,都営三田線,三田, 6, ＪＲ山手線,田町, 11, ＪＲ京浜東北線,浜松町, 10
芝二丁目ハウス,東京都港区芝２,30,11,25.9,10000,2LDK,66.12,25.9,25.9,https://img01.suumo.com/front/gazo/fr/bukken/326/100343243326/100343243326_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085834318/?bc=100348886235,都営三田線,三田, 6, ＪＲ山手線,田町, 11, ＪＲ京浜東北線,浜松町, 10
ヴィオラ東大前,東京都文京区西片２,3,3,12.6,0,1DK,35.01,12.6,0,https://img01.suumo.com/front/gazo/fr/bukken/406/100347617406/100347617406_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085478716/?bc=100347617406,東京メトロ南北線,東大前, 3, 都営三田線,春日, 10, 東京メトロ丸ノ内線,後楽園, 14
桜ヒルズ三田,東京都港区三田２,8,4,15.9,10000,1LDK,37.09,0,0,https://img01.suumo.com/front/gazo/fr/bukken/817/100347672817/100347672817_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000084460309/?bc=100347672817,都営大江戸線,赤羽橋, 7, 都営浅草線,三田, 9, ＪＲ山手線,田町, 11
六義園杉ハイム,東京都文京区本駒込６,47,4,10,0,2DK,43.54,10,0,https://img01.suumo.com/front/gazo/fr/bukken/814/100353111814/100353111814_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086369702/?bc=100353111814,都営三田線,千石, 6, ＪＲ山手線,駒込, 7, ＪＲ山手線,巣鴨, 13
コンフォリア九段,東京都千代田区九段南２,17,13,22.7,10000,1LDK,45.16,22.7,22.7,https://img01.suumo.com/front/gazo/fr/bukken/004/100351341004/100351341004_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000083979355/?bc=100351341004,東京メトロ東西線,九段下, 9, 東京メトロ有楽町線,市ケ谷, 9, 東京メトロ半蔵門線,半蔵門, 12
東急東横線 代官山駅 5階建 築7年,東京都渋谷区恵比寿西１,7,2,24,15000,1LDK,42.49,24,24,https://img01.suumo.com/front/gazo/fr/bukken/992/100354564992/100354564992_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086680559/?bc=100354564992,東急東横線,代官山, 2, ＪＲ山手線,恵比寿, 9, 東京メトロ日比谷線,恵比寿, 7
エルファーロ都立大学,東京都目黒区中根１,0,1,12.3,10000,1LDK,27.49,0,0,https://img01.suumo.com/front/gazo/fr/bukken/197/100354788197/100354788197_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086634620/?bc=100354828419,東急東横線,都立大学, 4, 東急大井町線,自由が丘, 19, 東急目黒線,奥沢, 25
エルファーロ都立大学,東京都目黒区中根１,0,4,12.3,10000,1LDK,27.49,0,0,https://img01.suumo.com/front/gazo/fr/bukken/197/100354788197/100354788197_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086634629/?bc=100355398996,東急東横線,都立大学, 4, 東急大井町線,自由が丘, 19, 東急目黒線,奥沢, 25
エルファーロ都立大学,東京都目黒区中根１,0,4,12.4,10000,1LDK,27.49,0,0,https://img01.suumo.com/front/gazo/fr/bukken/197/100354788197/100354788197_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086634628/?bc=100355211947,東急東横線,都立大学, 4, 東急大井町線,自由が丘, 19, 東急目黒線,奥沢, 25
エルファーロ都立大学,東京都目黒区中根１,0,3,12.7,10000,1LDK,27.49,0,0,https://img01.suumo.com/front/gazo/fr/bukken/197/100354788197/100354788197_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086634626/?bc=100355730567,東急東横線,都立大学, 4, 東急大井町線,自由が丘, 19, 東急目黒線,奥沢, 25
エルファーロ都立大学,東京都目黒区中根１,0,2,12.7,10000,1LDK,27.49,0,0,https://img01.suumo.com/front/gazo/fr/bukken/197/100354788197/100354788197_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086634623/?bc=100355130936,東急東横線,都立大学, 4, 東急大井町線,自由が丘, 19, 東急目黒線,奥沢, 25
エルファーロ都立大学,東京都目黒区中根１,0,3,12.8,10000,1LDK,27.49,0,0,https://img01.suumo.com/front/gazo/fr/bukken/197/100354788197/100354788197_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086634625/?bc=100355211960,東急東横線,都立大学, 4, 東急大井町線,自由が丘, 19, 東急目黒線,奥沢, 25
エルファーロ都立大学,東京都目黒区中根１,0,2,12.8,10000,1LDK,27.49,0,0,https://img01.suumo.com/front/gazo/fr/bukken/197/100354788197/100354788197_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086634622/?bc=100355043767,東急東横線,都立大学, 4, 東急大井町線,自由が丘, 19, 東急目黒線,奥沢, 25
エルファーロ都立大学,東京都目黒区中根１,0,1,22.8,15000,2LDK,45.61,0,0,https://img01.suumo.com/front/gazo/fr/bukken/197/100354788197/100354788197_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086634621/?bc=100354788197,東急東横線,都立大学, 4, 東急大井町線,自由が丘, 19, 東急目黒線,奥沢, 25
エルファーロ都立大学,東京都目黒区中根１,0,3,23.3,15000,2LDK,45.61,0,0,https://img01.suumo.com/front/gazo/fr/bukken/197/100354788197/100354788197_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086634627/?bc=100355040981,東急東横線,都立大学, 4, 東急大井町線,自由が丘, 19, 東急目黒線,奥沢, 25
エルファーロ都立大学,東京都目黒区中根１,0,2,23.3,15000,2LDK,45.61,0,0,https://img01.suumo.com/front/gazo/fr/bukken/197/100354788197/100354788197_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086634624/?bc=100355213455,東急東横線,都立大学, 4, 東急大井町線,自由が丘, 19, 東急目黒線,奥沢, 25
セリシエール神楽坂南町,東京都新宿区南町,11,1,16.9,3000,1LDK,40.81,16.9,16.9,https://img01.suumo.com/front/gazo/fr/bukken/893/100352414893/100352414893_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086265341/?bc=100352414893,都営大江戸線,牛込神楽坂, 5, 東京メトロ東西線,神楽坂, 10, 東京メトロ有楽町線,市ケ谷, 9
都営大江戸線 牛込神楽坂駅 3階建 築11年,東京都新宿区南町,11,1,16.9,3000,1LDK,40.81,16.9,16.9,https://img01.suumo.com/front/gazo/fr/bukken/139/100352415139/100352415139_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086271088/?bc=100352415139,都営大江戸線,牛込神楽坂, 5, 東京メトロ東西線,神楽坂, 10, 東京メトロ有楽町線,市ケ谷, 9
ジェムストーン田園調布,東京都大田区田園調布本町,11,4,11,20000,1LDK,30.1,0,0,https://img01.suumo.com/front/gazo/fr/bukken/771/100355304771/100355304771_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086666886/?bc=100355304771,東急池上線,雪が谷大塚, 7, 東急多摩川線,沼部, 13, 東急東横線,多摩川, 13
東急池上線 雪が谷大塚駅 4階建 築11年,東京都大田区田園調布本町,11,4,11,20000,1LDK,30.1,0,0,https://img01.suumo.com/front/gazo/fr/bukken/295/100355560295/100355560295_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086687837/?bc=100355560295,東急池上線,雪が谷大塚, 7, 東急東横線,多摩川, 12, 東急多摩川線,沼部, 10
KTテラス,東京都目黒区下目黒３,16,2,15.2,8000,1LDK,40.11,0,15.2,https://img01.suumo.com/front/gazo/fr/bukken/454/100353155454/100353155454_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000048218358/?bc=100353155454,ＪＲ山手線,目黒, 10, 東急目黒線,不動前, 6, 東急目黒線,武蔵小山, 18
千石MTビル,東京都文京区千石４,37,2,11,2000,2DK,51.6,11,11,https://img01.suumo.com/front/gazo/fr/bukken/435/100353466435/100353466435_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000052916987/?bc=100353466435,都営三田線,千石, 4, ＪＲ山手線,巣鴨, 10, 東京メトロ丸ノ内線,新大塚, 16
Peaceful Court 菊川,東京都墨田区菊川２,20,6,10.9,6000,1DK,30.51,10.9,0,https://img01.suumo.com/front/gazo/fr/bukken/847/100348427847/100348427847_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086230606/?bc=100348427847,都営新宿線,菊川, 3, 都営大江戸線,森下, 7, 東京メトロ半蔵門線,清澄白河, 11
都営新宿線 菊川駅 8階建 築20年,東京都墨田区菊川２,20,6,10.9,6000,1DK,30.51,10.9,0,https://img01.suumo.com/front/gazo/fr/bukken/280/100356010280/100356010280_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086245853/?bc=100356010280,都営新宿線,菊川, 3, 都営大江戸線,森下, 7, 東京メトロ半蔵門線,清澄白河, 11
エンテヴィレ南麻布,東京都港区南麻布２,0,8,30,20000,2LDK,54.82,30,0,https://img01.suumo.com/front/gazo/fr/bukken/503/100356257503/100356257503_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000080100724/?bc=100356257503,東京メトロ南北線,白金高輪, 7, 都営大江戸線,麻布十番, 10, 都営浅草線,泉岳寺, 16
コートK2,東京都墨田区向島１,33,3,10,10000,2DK,38.5,10,10,https://img01.suumo.com/front/gazo/fr/bukken/989/100356012989/100356012989_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000070627269/?bc=100356012989,東武伊勢崎線,とうきょうスカイツリー, 2, 都営浅草線,本所吾妻橋, 6, 東京メトロ銀座線,浅草, 15
東武伊勢崎線 とうきょうスカイツリー駅 6階建 築33年,東京都墨田区向島１,33,3,10,10000,2DK,38.5,10,10,https://img01.suumo.com/front/gazo/fr/bukken/007/100356010007/100356010007_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000070623256/?bc=100356010007,東武伊勢崎線,とうきょうスカイツリー, 2, 都営浅草線,本所吾妻橋, 6, 東京メトロ銀座線,浅草, 15
ヒルトップ道灌山,東京都文京区千駄木３,35,4,31,10000,2LDK,124.46,31,31,https://img01.suumo.com/front/gazo/fr/bukken/773/100345234773/100345234773_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085198213/?bc=100345234773,東京メトロ千代田線,千駄木, 6, ＪＲ山手線,西日暮里, 8, ＪＲ京浜東北線,日暮里, 11
槇の杜,東京都渋谷区上原３,4,3,28,12000,2LDK,58.05,28,28,https://img01.suumo.com/front/gazo/fr/bukken/350/100350445350/100350445350_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085968389/?bc=100350445350,東京メトロ千代田線,代々木上原, 7, 小田急線,東北沢, 8, 京王井の頭線,下北沢, 17
ＪＲ総武線 錦糸町駅 4階建 築23年,東京都墨田区錦糸１,23,2,7.8,3000,1K,25.18,7.8,7.8,https://img01.suumo.com/front/gazo/fr/bukken/371/100338536371/100338536371_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000047299445/?bc=100338536371,ＪＲ総武線,錦糸町, 4, 都営新宿線,住吉, 17, 東京メトロ半蔵門線,錦糸町, 6
ネスト鷹番,東京都目黒区鷹番１,22,2,20,5000,2LDK,55.2,20,20,https://img01.suumo.com/front/gazo/fr/bukken/097/100356540097/100356540097_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086191920/?bc=100356540097,東急東横線,学芸大学, 8, 東急東横線,都立大学, 19, 東急目黒線,西小山, 25
東急東横線 学芸大学駅 3階建 築22年,東京都目黒区鷹番１,22,2,20,5000,2LDK,55.2,20,20,https://img01.suumo.com/front/gazo/fr/bukken/772/100356540772/100356540772_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086205050/?bc=100356540772,東急東横線,学芸大学, 8, 東急東横線,都立大学, 19, 東急目黒線,西小山, 25
ウェルスクエアイズム上北沢,東京都世田谷区上北沢５,3,4,15.9,10000,2LDK,41.48,15.9,0,https://img01.suumo.com/front/gazo/fr/bukken/834/100352414834/100352414834_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086226143/?bc=100352414834,京王線,上北沢, 6, 京王線,八幡山, 9, 京王井の頭線,浜田山, 25
KITANO.1,東京都文京区本駒込１,49,2,10,20000,1LDK,69.7,10,10,https://img01.suumo.com/front/gazo/fr/bukken/485/100332271485/100332271485_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000082955821/?bc=100332271485,東京メトロ南北線,本駒込, 6, 都営三田線,白山, 6, 東京メトロ千代田線,千駄木, 16
ベルファース錦糸町サウス,東京都墨田区江東橋１,0,2,18.4,15000,1LDK,40.45,18.4,0,https://img01.suumo.com/front/gazo/fr/bukken/592/100351086592/100351086592_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086086848/?bc=100351086652,東京メトロ半蔵門線,錦糸町, 8, 都営新宿線,菊川, 13, 東京メトロ半蔵門線,住吉, 15
ベルファース錦糸町サウス,東京都墨田区江東橋１,0,3,18.6,15000,1LDK,40.45,18.6,0,https://img01.suumo.com/front/gazo/fr/bukken/592/100351086592/100351086592_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086086853/?bc=100351086651,東京メトロ半蔵門線,錦糸町, 8, 都営新宿線,菊川, 13, 東京メトロ半蔵門線,住吉, 15
ベルファース錦糸町サウス,東京都墨田区江東橋１,0,4,18.6,15000,1LDK,40.45,18.6,0,https://img01.suumo.com/front/gazo/fr/bukken/592/100351086592/100351086592_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086767799/?bc=100355663403,東京メトロ半蔵門線,錦糸町, 8, 都営新宿線,菊川, 13, 東京メトロ半蔵門線,住吉, 15
ベルファース錦糸町サウス,東京都墨田区江東橋１,0,6,18.7,15000,1LDK,40.45,18.7,0,https://img01.suumo.com/front/gazo/fr/bukken/592/100351086592/100351086592_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086086858/?bc=100351086630,東京メトロ半蔵門線,錦糸町, 8, 都営新宿線,菊川, 13, 東京メトロ半蔵門線,住吉, 15
ベルファース錦糸町サウス,東京都墨田区江東橋１,0,7,18.8,15000,1LDK,40.45,18.8,0,https://img01.suumo.com/front/gazo/fr/bukken/592/100351086592/100351086592_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086086863/?bc=100351086640,東京メトロ半蔵門線,錦糸町, 8, 都営新宿線,菊川, 13, 東京メトロ半蔵門線,住吉, 15
ベルファース錦糸町サウス,東京都墨田区江東橋１,0,11,19,15000,1LDK,40.45,19,0,https://img01.suumo.com/front/gazo/fr/bukken/592/100351086592/100351086592_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086086833/?bc=100351086609,東京メトロ半蔵門線,錦糸町, 8, 都営新宿線,菊川, 13, 東京メトロ半蔵門線,住吉, 15
ベルファース錦糸町サウス,東京都墨田区江東橋１,0,10,19,15000,1LDK,40.45,19,0,https://img01.suumo.com/front/gazo/fr/bukken/592/100351086592/100351086592_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086086828/?bc=100351086635,東京メトロ半蔵門線,錦糸町, 8, 都営新宿線,菊川, 13, 東京メトロ半蔵門線,住吉, 15
ベルファース錦糸町サウス,東京都墨田区江東橋１,0,13,19.1,15000,1LDK,40.45,19.1,0,https://img01.suumo.com/front/gazo/fr/bukken/592/100351086592/100351086592_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086086840/?bc=100351086639,東京メトロ半蔵門線,錦糸町, 8, 都営新宿線,菊川, 13, 東京メトロ半蔵門線,住吉, 15
ベルファース錦糸町サウス,東京都墨田区江東橋１,0,12,19.1,15000,1LDK,40.45,19.1,0,https://img01.suumo.com/front/gazo/fr/bukken/592/100351086592/100351086592_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086086837/?bc=100351086614,東京メトロ半蔵門線,錦糸町, 8, 都営新宿線,菊川, 13, 東京メトロ半蔵門線,住吉, 15
ベルファース錦糸町サウス,東京都墨田区江東橋１,0,14,19.5,15000,1LDK,40.45,19.5,0,https://img01.suumo.com/front/gazo/fr/bukken/592/100351086592/100351086592_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086086843/?bc=100351086592,東京メトロ半蔵門線,錦糸町, 8, 都営新宿線,菊川, 13, 東京メトロ半蔵門線,住吉, 15
ベルファース錦糸町サウス,東京都墨田区江東橋１,0,13,22.6,20000,2LDK,46.03,22.6,0,https://img01.suumo.com/front/gazo/fr/bukken/592/100351086592/100351086592_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086086839/?bc=100351086646,東京メトロ半蔵門線,錦糸町, 8, 都営新宿線,菊川, 13, 東京メトロ半蔵門線,住吉, 15
ベルファース錦糸町サウス,東京都墨田区江東橋１,0,12,22.7,20000,2LDK,46.03,22.7,0,https://img01.suumo.com/front/gazo/fr/bukken/592/100351086592/100351086592_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086086834/?bc=100351086625,東京メトロ半蔵門線,錦糸町, 8, 都営新宿線,菊川, 13, 東京メトロ半蔵門線,住吉, 15
ベルファース錦糸町サウス,東京都墨田区江東橋１,0,13,22.8,20000,2LDK,46.03,22.8,0,https://img01.suumo.com/front/gazo/fr/bukken/592/100351086592/100351086592_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086086838/?bc=100351086621,東京メトロ半蔵門線,錦糸町, 8, 都営新宿線,菊川, 13, 東京メトロ半蔵門線,住吉, 15
ベルファース錦糸町サウス,東京都墨田区江東橋１,0,14,23.1,20000,2LDK,46.03,23.1,0,https://img01.suumo.com/front/gazo/fr/bukken/592/100351086592/100351086592_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086086842/?bc=100351086648,東京メトロ半蔵門線,錦糸町, 8, 都営新宿線,菊川, 13, 東京メトロ半蔵門線,住吉, 15
ベルファース錦糸町サウス,東京都墨田区江東橋１,0,14,23.3,20000,2LDK,46.03,23.3,0,https://img01.suumo.com/front/gazo/fr/bukken/592/100351086592/100351086592_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086086841/?bc=100351086638,東京メトロ半蔵門線,錦糸町, 8, 都営新宿線,菊川, 13, 東京メトロ半蔵門線,住吉, 15
メゾン・ド・ヴィレ恵比寿,東京都渋谷区恵比寿１,23,10,13.45,10000,1DK,33.54,13.45,13.45,https://img01.suumo.com/front/gazo/fr/bukken/010/100342168010/100342168010_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000028554024/?bc=100342168010,ＪＲ山手線,恵比寿, 8, 東京メトロ日比谷線,広尾, 10, 東急東横線,代官山, 14
メゾン・ド・ヴィレ恵比寿,東京都渋谷区恵比寿１,23,8,55,10000,3LDK,80.94,55,55,https://img01.suumo.com/front/gazo/fr/bukken/010/100342168010/100342168010_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086416162/?bc=100350270737,ＪＲ山手線,恵比寿, 8, 東京メトロ日比谷線,広尾, 10, 東急東横線,代官山, 14
グローリオシェルト永福町,東京都杉並区永福３,3,1,9.7,13000,1DK,25.28,9.7,0,https://img01.suumo.com/front/gazo/fr/bukken/059/100347384059/100347384059_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000071810383/?bc=100354165330,京王井の頭線,永福町, 4, 京王井の頭線,西永福, 8, 京王線,桜上水, 19
グローリオシェルト永福町,東京都杉並区永福３,3,4,11.7,13000,1LDK,30.51,11.7,0,https://img01.suumo.com/front/gazo/fr/bukken/059/100347384059/100347384059_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000071810397/?bc=100347384059,京王井の頭線,永福町, 4, 京王井の頭線,西永福, 8, 京王線,桜上水, 19
京王井の頭線 永福町駅 4階建 築3年,東京都杉並区永福３,3,4,11.7,13000,1LDK,30.51,11.7,0,https://img01.suumo.com/front/gazo/fr/bukken/902/100347540902/100347540902_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000071810412/?bc=100347540902,京王井の頭線,永福町, 4, 京王井の頭線,西永福, 8, 京王線,桜上水, 19
ジュイールパルフェ平井,東京都墨田区立花６,8,5,7.5,15000,1K,26.24,0,0,https://img01.suumo.com/front/gazo/fr/bukken/403/100349803403/100349803403_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085887309/?bc=100349803403,ＪＲ総武線,平井, 8, 東武亀戸線,東あずま, 8, 京成押上線,八広, バス11 (バス停)立花大正民家園入口 4
レジディア白金高輪2,東京都港区三田５,9,4,22.3,15000,2DK,45.03,22.3,22.3,https://img01.suumo.com/front/gazo/fr/bukken/733/100353051733/100353051733_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086304601/?bc=100353051733,東京メトロ南北線,白金高輪, 8, ＪＲ山手線,田町, 11, 都営浅草線,三田, 9
ライオンズマンション白山,東京都文京区白山４,49,7,17,0,3DK,54.12,17,0,https://img01.suumo.com/front/gazo/fr/bukken/680/100347481680/100347481680_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085562841/?bc=100347481680,都営三田線,白山, 3, 東京メトロ南北線,本駒込, 9, 東京メトロ丸ノ内線,茗荷谷, 25
プライムアーバン両国,東京都墨田区亀沢１,3,6,11,10000,1K,25.01,11,0,https://img01.suumo.com/front/gazo/fr/bukken/286/100353657286/100353657286_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086787897/?bc=100355832727,都営大江戸線,両国, 3, 都営新宿線,森下, 16, 都営浅草線,蔵前, 17
プライムアーバン両国,東京都墨田区亀沢１,3,7,21.9,15000,1SLDK,50.03,21.9,0,https://img01.suumo.com/front/gazo/fr/bukken/286/100353657286/100353657286_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086457078/?bc=100353657286,都営大江戸線,両国, 3, 都営新宿線,森下, 16, 都営浅草線,蔵前, 17
プライムアーバン両国,東京都墨田区亀沢１,3,6,22,15000,2LDK,50.02,22,0,https://img01.suumo.com/front/gazo/fr/bukken/286/100353657286/100353657286_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085940403/?bc=100355638305,都営大江戸線,両国, 3, 都営新宿線,森下, 16, 都営浅草線,蔵前, 17
グラシアプレイス本駒込,東京都文京区本駒込５,3,4,16.4,20000,1LDK,40.63,16.4,0,https://img01.suumo.com/front/gazo/fr/bukken/741/100355935741/100355935741_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000085940363/?bc=100355935741,ＪＲ山手線,駒込, 9, ＪＲ京浜東北線,田端, 14, 都営三田線,千石, 13
パラスト品川,東京都品川区北品川３,45,8,14,5000,1LDK,36.52,14,14,https://img01.suumo.com/front/gazo/fr/bukken/711/100351711711/100351711711_gw.jpg,https://bridal.suumo.jp/chintai/jnc_000086160210/?bc=100351711711,ＪＲ山手線,品川, 10, 京急本線,北品川, 2, 京急本線,新馬場, 8
